Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,Phone 1 - Type,Phone 1 - Value
Abel Maclead,Abel,,Maclead,,,,,,,,,,,,,,,,,,,,,,"company_name: Rangoni Of Florence
address: 37275 St  Rt 17m M
city: Middle Island
county: Suffolk
state: NY
zip: 11953
phone1: 14129044279
phone: 631-677-3675
",,,Imported on 10/31 ::: * myContacts,* Other,amaclead@gmail.com,,
Albina Glick,Albina,,Glick,,,,,,,,,,,,,,,,,,,,,,"company_name: Giampetro, Anthony D
address: 4 Ralph Ct
city: Dunellen
county: Middlesex
state: NJ
zip: 8812
phone1: 14126617766
phone: 732-782-6701
",,,Imported on 10/31 ::: * myContacts,* Other,albina@glick.com,,
Alisha Slusarski,Alisha,,Slusarski,,,,,,,,,,,,,,,,,,,,,,"company_name: Wtlz Power 107 Fm
address: 3273 State St
city: Middlesex
county: Middlesex
state: NJ
zip: 8846
phone1: 14124412200
phone: 732-635-3453
",,,Imported on 10/31 ::: * myContacts,* Other,alisha@slusarski.com,,
Alishia Sergi,Alishia,,Sergi,,,,,,,,,,,,,,,,,,,,,,"company_name: Milford Enterprises Inc
address: 2742 Distribution Way
city: New York
county: New York
state: NY
zip: 10025
phone1: 17176506410
phone: 212-753-2740
",,,Imported on 10/31 ::: * myContacts,* Other,asergi@gmail.com,,
Allene Iturbide,Allene,,Iturbide,,,,,,,,,,,,,,,,,,,,,,"company_name: Ledecky, David Esq
address: 1 Central Ave
city: Stevens Point
county: Portage
state: WI
zip: 54481
phone1: 14127735500
phone: 715-530-9863
",,,Imported on 10/31 ::: * myContacts,* Other,allene_iturbide@cox.net,,
Amber Monarrez,Amber,,Monarrez,,,,,,,,,,,,,,,,,,,,,,"company_name: Branford Wire & Mfg Co
address: 14288 Foster Ave #4121
city: Jenkintown
county: Montgomery
state: PA
zip: 19046
phone1: 18144568843
phone: 215-329-6386
",,,Imported on 10/31 ::: * myContacts,* Other,amber_monarrez@monarrez.org,,
Ammie Corrio,Ammie,,Corrio,,,,,,,,,,,,,,,,,,,,,,"company_name: Moskowitz, Barry S
address: 74874 Atlantic Ave
city: Columbus
county: Franklin
state: OH
zip: 43215
phone1: 17246543620
phone: 614-648-3265
",,,Imported on 10/31 ::: * myContacts,* Other,ammie@corrio.com,,
Arlette Honeywell,Arlette,,Honeywell,,,,,,,,,,,,,,,,,,,,,,"company_name: Smc Inc
address: 11279 Loytan St
city: Jacksonville
county: Duval
state: FL
zip: 32254
phone1: 14126137909
phone: 904-514-9918
",,,Imported on 10/31 ::: * myContacts,* Other,ahoneywell@honeywell.com,,
Art Venere,Art,,Venere,,,,,,,,,,,,,,,,,,,,,,"company_name: Chemel, James L Cpa
address: 8 W Cerritos Ave #54
city: Bridgeport
county: Gloucester
state: NJ
zip: 8014
phone1: 14125831458
phone: 856-264-4130
",,,Imported on 10/31 ::: * myContacts,* Other,art@venere.org,,
Bernardo Figeroa,Bernardo,,Figeroa,,,,,,,,,,,,,,,,,,,,,,"company_name: Clark, Richard Cpa
address: 386 9th Ave N
city: Conroe
county: Montgomery
state: TX
zip: 77301
phone1: 14128545435
phone: 936-597-3614
",,,Imported on 10/31 ::: * myContacts,* Other,bfigeroa@aol.com,,
